"target_1","target_2","group_1","group_2","MDR_smap_coefficient","connectivity"
"Archaea_164_1","Actinobacteria_410_1","Archaea","Actinobacteria",-0.0121227877230586,48.1236203090508
"Archaea_164_1","Actinobacteria_410_2","Archaea","Actinobacteria",0.0093214394188627,5.96026490066225
"Archaea_164_1","Archaea_179_1","Archaea","Archaea",0.0886859401914632,100
"Archaea_164_1","Bacillariophyta_123_1","Archaea","Bacillariophyta",0.0149819734855026,23.1788079470199
"Archaea_164_1","Bacillariophyta_138_1","Archaea","Bacillariophyta",-0.0134617668733898,67.7704194260486
"Archaea_164_1","Bacillariophyta_196_1","Archaea","Bacillariophyta",-0.0245704394679626,10.3752759381898
"Archaea_164_1","Bacillariophyta_219_1","Archaea","Bacillariophyta",-0.00664090324314284,6.62251655629139
"Archaea_164_1","Bacillariophyta_29_1","Archaea","Bacillariophyta",0.0149350051938979,24.7240618101545
"Archaea_164_1","Bacillariophyta_31_1","Archaea","Bacillariophyta",0.0186456790940438,22.2958057395143
"Archaea_164_1","Bacteroidetes_1235_1","Archaea","Bacteroidetes",0.0132071709120766,13.2450331125828
"Archaea_164_1","Bacteroidetes_129_1","Archaea","Bacteroidetes",-0.00864795800759572,8.38852097130243
"Archaea_164_1","Bacteroidetes_131_1","Archaea","Bacteroidetes",0.00687097185102648,13.2450331125828
"Archaea_164_1","Bacteroidetes_1360_1","Archaea","Bacteroidetes",-0.0259152667796217,89.6247240618102
"Archaea_164_1","Bacteroidetes_1360_3","Archaea","Bacteroidetes",-0.00877725681156504,97.3509933774834
"Archaea_164_1","Bacteroidetes_1360_4","Archaea","Bacteroidetes",-0.0123125650380996,46.1368653421634
"Archaea_164_1","Bacteroidetes_317_1","Archaea","Bacteroidetes",0.00637189006538962,11.4790286975717
"Archaea_164_1","Bacteroidetes_919_1","Archaea","Bacteroidetes",-0.0190320184835459,99.7792494481236
"Archaea_164_1","Bacteroidetes_919_3","Archaea","Bacteroidetes",0.00647975113927616,19.8675496688742
"Archaea_164_1","Bacteroidetes_938_1","Archaea","Bacteroidetes",-0.018182093038791,10.5960264900662
"Archaea_164_1","Bacteroidetes_956_1","Archaea","Bacteroidetes",0.0156044016927152,7.28476821192053
"Archaea_164_1","Cercozoa_23_1","Archaea","Cercozoa",0.0175692511883608,32.8918322295806
"Archaea_164_1","Chlorophyta__streptophyta_732_1","Archaea","Chlorophyta",0.0186312302161041,6.18101545253863
"Archaea_164_1","Chlorophyta__streptophyta_845_1","Archaea","Chlorophyta",0.0106804555485997,18.1015452538631
"Archaea_164_1","Chlorophyta__streptophyta_895_1","Archaea","Chlorophyta",0.00633833101129782,6.62251655629139
"Archaea_164_1","Ciliophora_234_1","Archaea","Ciliophora",0.00884993985104552,18.3222958057395
"Archaea_164_1","Cryptophyta_108_1","Archaea","Cryptophyta",0.00628368374240484,13.9072847682119
"Archaea_164_1","Cryptophyta_15_2","Archaea","Cryptophyta",0.0127370250371512,15.2317880794702
"Archaea_164_1","Cyanobacteria_85_1","Archaea","Cyanobacteria",0.0296221494126546,100
"Archaea_164_1","Dictyochophyceae_6_1","Archaea","Dictyochophyceae",-0.00805907131735985,9.05077262693157
"Archaea_164_1","Dinoflagellata_1017_1","Archaea","Dinoflagellata",-0.00716884933002928,9.05077262693157
"Archaea_164_1","Dinoflagellata_1198_1","Archaea","Dinoflagellata",0.0243343152640344,33.3333333333333
"Archaea_164_1","Dinoflagellata_124_1","Archaea","Dinoflagellata",0.0608150125301654,65.3421633554084
"Archaea_164_1","Dinoflagellata_1496_1","Archaea","Dinoflagellata",-0.013797960122213,11.6997792494481
"Archaea_164_1","Dinoflagellata_1793_1","Archaea","Dinoflagellata",0.00713164590535905,13.4657836644592
"Archaea_164_1","Dinoflagellata_982_1","Archaea","Dinoflagellata",-0.0166244272894429,13.0242825607064
"Archaea_164_1","Perkinsea_44_1","Archaea","Perkinsea",-0.00887040553194814,16.1147902869757
"Archaea_164_1","Proteobacteria_10114_1","Archaea","Proteobacteria",-0.0111795729308067,10.1545253863135
"Archaea_164_1","Proteobacteria_11155_2","Archaea","Proteobacteria",0.00866324683760167,57.6158940397351
"Archaea_164_1","Proteobacteria_11210_2","Archaea","Proteobacteria",0.0122927787707896,12.3620309050773
"Archaea_164_1","Proteobacteria_11428_1","Archaea","Proteobacteria",0.0235063583374653,40.6181015452539
"Archaea_164_1","Proteobacteria_11429_2","Archaea","Proteobacteria",-0.0102249530525714,13.9072847682119
"Archaea_164_1","Proteobacteria_11431_1","Archaea","Proteobacteria",0.0166187809474734,60.9271523178808
"Archaea_164_1","Proteobacteria_6384_1","Archaea","Proteobacteria",-0.0131047318009879,34.878587196468
"Archaea_164_1","Proteobacteria_7174_1","Archaea","Proteobacteria",-0.0147244303211924,22.5165562913907
"Archaea_164_1","Proteobacteria_7230_2","Archaea","Proteobacteria",0.0100836840898399,8.60927152317881
"Archaea_164_1","Proteobacteria_7230_3","Archaea","Proteobacteria",0.00756606802825584,85.4304635761589
"Archaea_164_1","Proteobacteria_7295_1","Archaea","Proteobacteria",0.015355946286113,22.075055187638
"Archaea_164_1","Proteobacteria_7982_1","Archaea","Proteobacteria",0.0131757300211799,96.0264900662252
"Archaea_164_1","Proteobacteria_7982_2","Archaea","Proteobacteria",0.00661196476609363,38.6313465783664
"Archaea_164_1","Proteobacteria_7983_4","Archaea","Proteobacteria",-0.0242421647806165,47.4613686534216
"Archaea_164_1","Proteobacteria_8175_1","Archaea","Proteobacteria",0.012384614784751,100
"Archaea_164_1","Proteobacteria_8176_1","Archaea","Proteobacteria",0.0322479224007525,100
"Archaea_164_1","Proteobacteria_8176_2","Archaea","Proteobacteria",0.0114708562991299,13.0242825607064
"Archaea_164_1","Proteobacteria_8520_1","Archaea","Proteobacteria",-0.0154428601947737,30.0220750551876
"Archaea_164_1","Proteobacteria_9681_1","Archaea","Proteobacteria",0.00682584488057102,7.94701986754967
"Archaea_164_1","Proteobacteria_9681_2","Archaea","Proteobacteria",0.0246109023262208,23.841059602649
"Archaea_164_1","Raphidophyceae_3_1","Archaea","Raphidophyceae",0.0135744343480573,59.1611479028698
"Archaea_164_1","Sagenista_53_1","Archaea","Sagenista",-0.00916316894299537,9.71302428256071
"Archaea_164_1","Sagenista_61_1","Archaea","Sagenista",0.00785501552245828,22.5165562913907
"Archaea_164_2","Actinobacteria_410_1","Archaea","Actinobacteria",-0.0380538830804745,94.4812362030905
"Archaea_164_2","Actinobacteria_410_2","Archaea","Actinobacteria",0.00862570023401517,30.242825607064
"Archaea_164_2","Archaea_164_1","Archaea","Archaea",-0.028213859279417,26.7108167770419
"Archaea_164_2","Archaea_179_1","Archaea","Archaea",-0.0205307738628169,85.2097130242826
"Archaea_164_2","Bacillariophyta_100_1","Archaea","Bacillariophyta",-0.00857110055952275,61.5894039735099
"Archaea_164_2","Bacillariophyta_123_1","Archaea","Bacillariophyta",-0.0181647089110928,42.1633554083885
