"theta","alpha","lambda","target","cv_min_dat_perc","rmse_cv","rho_cv","const_pred_rmse","const_pred_rho","inv_rmse_cv","performance_cv","rmse_fit","rho_fit","inv_rmse_fit","performance_fit"
8,0.1,0.032,"Chlorophyta__streptophyta_848_1",10.054844606947,0.261577803657376,0.436303638756522,0.34579509303107,0.298337852540368,0.781832314466413,0.895333811009106,0.251077317059249,0.4602160508441,0.253865055382439,0.525591361990347
3,0.1,0.178,"Chlorophyta__streptophyta_848_1",10.054844606947,0.259999679745061,0.432422456760117,0.34579509303107,0.298337852540368,0.783410438378728,0.894830205162525,0.2505156151298,0.46111771194477,0.254426757311888,0.526652180386089
8,0.5,0.006,"Chlorophyta__streptophyta_848_1",10.054844606947,0.263672829968326,0.430445509881624,0.34579509303107,0.298337852540368,0.779737288155463,0.890659068059876,0.253885163430802,0.448774630680649,0.251057209010886,0.514226011923637
8,0.7,0.006,"Chlorophyta__streptophyta_848_1",10.054844606947,0.262838414712382,0.428358937853535,0.34579509303107,0.298337852540368,0.780571703411407,0.890383941794546,0.254426757311888,0.439934186907879,0.2505156151298,0.506260962581709
