"theta","alpha","lambda","target","cv_min_dat_perc","rmse_cv","rho_cv","const_pred_rmse","const_pred_rho","inv_rmse_cv","performance_cv","rmse_fit","rho_fit","inv_rmse_fit","performance_fit"
3,0.1,0.178,"Proteobacteria_7983_3",10.054844606947,0.344771171723893,0.663368153544868,0.411299952659145,0.617187449488427,0.906862787584229,1.12359130587708,0.349145090346892,0.672028284431911,0.364469058484847,0.764499646611644
8,0.1,1,"Proteobacteria_7983_3",10.054844606947,0.346207988123762,0.662703073512001,0.411299952659145,0.617187449488427,0.90542597118436,1.12203901578216,0.364469058484847,0.644352958868575,0.349145090346892,0.732866310943563
8,0.3,1,"Proteobacteria_7983_3",10.054844606947,0.346207988123762,0.662703073512001,0.411299952659145,0.617187449488427,0.90542597118436,1.12203901578216,0.364469058484847,0.644352958868575,0.349145090346892,0.732866310943563
8,0.5,1,"Proteobacteria_7983_3",10.054844606947,0.346207988123762,0.662703073512001,0.411299952659145,0.617187449488427,0.90542597118436,1.12203901578216,0.364469058484847,0.644352958868575,0.349145090346892,0.732866310943563
8,0.7,1,"Proteobacteria_7983_3",10.054844606947,0.346207988123762,0.662703073512001,0.411299952659145,0.617187449488427,0.90542597118436,1.12203901578216,0.364469058484847,0.644352958868575,0.349145090346892,0.732866310943563
8,0.9,1,"Proteobacteria_7983_3",10.054844606947,0.346207988123762,0.662703073512001,0.411299952659145,0.617187449488427,0.90542597118436,1.12203901578216,0.364469058484847,0.644352958868575,0.349145090346892,0.732866310943563
8,0.3,0.178,"Proteobacteria_7983_3",10.054844606947,0.346207988123762,0.662703073512001,0.411299952659145,0.617187449488427,0.90542597118436,1.12203901578216,0.364469058484847,0.644352958868575,0.349145090346892,0.732866310943563
8,0.5,0.178,"Proteobacteria_7983_3",10.054844606947,0.346207988123762,0.662703073512001,0.411299952659145,0.617187449488427,0.90542597118436,1.12203901578216,0.364469058484847,0.644352958868575,0.349145090346892,0.732866310943563
8,0.7,0.178,"Proteobacteria_7983_3",10.054844606947,0.346207988123762,0.662703073512001,0.411299952659145,0.617187449488427,0.90542597118436,1.12203901578216,0.364469058484847,0.644352958868575,0.349145090346892,0.732866310943563
8,0.9,0.178,"Proteobacteria_7983_3",10.054844606947,0.346207988123762,0.662703073512001,0.411299952659145,0.617187449488427,0.90542597118436,1.12203901578216,0.364469058484847,0.644352958868575,0.349145090346892,0.732866310943563
