"theta","alpha","lambda","target","cv_min_dat_perc","rmse_cv","rho_cv","const_pred_rmse","const_pred_rho","inv_rmse_cv","performance_cv","rmse_fit","rho_fit","inv_rmse_fit","performance_fit"
8,0.1,0.178,"Cercozoa_291_1",10.054844606947,4.26596818658444,0.00704638514562227,6.08023141300162,-0.00527912647225743,6.45588871505242,6.45589256049733,4.07226997710009,0.0258082354133226,4.07237516728887,4.07245694491251
8,0.7,0.032,"Cercozoa_291_1",10.054844606947,4.26601482835263,0.00681301888581181,6.08023141300162,-0.00527912647225743,6.45584207328423,6.45584566826169,4.0722678210943,0.0258297545282734,4.07237732329466,4.07245923730411
8,0.5,0.032,"Cercozoa_291_1",10.054844606947,4.2660449165763,0.0079501181994131,6.08023141300162,-0.00527912647225743,6.45581198506056,6.45581688021206,4.07238094271862,0.024858352702136,4.07226420167033,4.07234007247734
8,0.9,0.032,"Cercozoa_291_1",10.054844606947,4.26616448571348,0.00599649648495555,6.08023141300162,-0.00527912647225743,6.45569241592338,6.45569520090445,4.07226530012631,0.0258526320369572,4.07237984426265,4.07246190338718
8,0.1,1,"Cercozoa_291_1",10.054844606947,4.26621027652353,0.00580478667413721,6.08023141300162,-0.00527912647225743,6.45564662511333,6.4556492348861,4.07226420167033,0.0258626809854371,4.07238094271862,4.07246306562571
8,0.3,1,"Cercozoa_291_1",10.054844606947,4.26621027652353,0.00580478667413721,6.08023141300162,-0.00527912647225743,6.45564662511333,6.4556492348861,4.07226420167033,0.0258626809854371,4.07238094271862,4.07246306562571
8,0.5,1,"Cercozoa_291_1",10.054844606947,4.26621027652353,0.00580478667413721,6.08023141300162,-0.00527912647225743,6.45564662511333,6.4556492348861,4.07226420167033,0.0258626809854371,4.07238094271862,4.07246306562571
8,0.7,1,"Cercozoa_291_1",10.054844606947,4.26621027652353,0.00580478667413721,6.08023141300162,-0.00527912647225743,6.45564662511333,6.4556492348861,4.07226420167033,0.0258626809854371,4.07238094271862,4.07246306562571
8,0.9,1,"Cercozoa_291_1",10.054844606947,4.26621027652353,0.00580478667413721,6.08023141300162,-0.00527912647225743,6.45564662511333,6.4556492348861,4.07226420167033,0.0258626809854371,4.07238094271862,4.07246306562571
8,0.3,0.178,"Cercozoa_291_1",10.054844606947,4.26621027652353,0.00580478667413721,6.08023141300162,-0.00527912647225743,6.45564662511333,6.4556492348861,4.07226420167033,0.0258626809854371,4.07238094271862,4.07246306562571
8,0.5,0.178,"Cercozoa_291_1",10.054844606947,4.26621027652353,0.00580478667413721,6.08023141300162,-0.00527912647225743,6.45564662511333,6.4556492348861,4.07226420167033,0.0258626809854371,4.07238094271862,4.07246306562571
8,0.7,0.178,"Cercozoa_291_1",10.054844606947,4.26621027652353,0.00580478667413721,6.08023141300162,-0.00527912647225743,6.45564662511333,6.4556492348861,4.07226420167033,0.0258626809854371,4.07238094271862,4.07246306562571
8,0.9,0.178,"Cercozoa_291_1",10.054844606947,4.26621027652353,0.00580478667413721,6.08023141300162,-0.00527912647225743,6.45564662511333,6.4556492348861,4.07226420167033,0.0258626809854371,4.07238094271862,4.07246306562571
