"theta","alpha","lambda","target","cv_min_dat_perc","rmse_cv","rho_cv","const_pred_rmse","const_pred_rho","inv_rmse_cv","performance_cv","rmse_fit","rho_fit","inv_rmse_fit","performance_fit"
3,0.1,0.178,"Bacteroidetes_129_1",10.054844606947,0.517004085003992,0.30725049435669,0.65940032663631,0.222305774934973,1.1007318801752,1.14280949344869,0.516585169019132,0.376364815149898,0.520840793154094,0.642592877252933
8,0.1,0.032,"Bacteroidetes_129_1",10.054844606947,0.523851186870105,0.326639927586851,0.65940032663631,0.222305774934973,1.09388477830909,1.14161182129052,0.520840793154094,0.392064849404762,0.516585169019132,0.648517604224669
3,0.3,0.032,"Bacteroidetes_129_1",10.054844606947,0.534195515434463,0.323873204806744,0.65940032663631,0.222305774934973,1.08354044974473,1.13090837782059,0.520031791867061,0.387852084705359,0.517394170306165,0.64662660560566
8,0.1,1,"Bacteroidetes_129_1",10.054844606947,0.520242045002208,0.27220686443069,0.65940032663631,0.222305774934973,1.09749392017698,1.13074731123653,0.520520931228299,0.357726545313647,0.516905030944927,0.628616808746165
8,0.3,1,"Bacteroidetes_129_1",10.054844606947,0.520242045002208,0.27220686443069,0.65940032663631,0.222305774934973,1.09749392017698,1.13074731123653,0.520520931228299,0.357726545313647,0.516905030944927,0.628616808746165
8,0.5,1,"Bacteroidetes_129_1",10.054844606947,0.520242045002208,0.27220686443069,0.65940032663631,0.222305774934973,1.09749392017698,1.13074731123653,0.520520931228299,0.357726545313647,0.516905030944927,0.628616808746165
8,0.7,1,"Bacteroidetes_129_1",10.054844606947,0.520242045002208,0.27220686443069,0.65940032663631,0.222305774934973,1.09749392017698,1.13074731123653,0.520520931228299,0.357726545313647,0.516905030944927,0.628616808746165
8,0.9,1,"Bacteroidetes_129_1",10.054844606947,0.520242045002208,0.27220686443069,0.65940032663631,0.222305774934973,1.09749392017698,1.13074731123653,0.520520931228299,0.357726545313647,0.516905030944927,0.628616808746165
8,0.5,0.178,"Bacteroidetes_129_1",10.054844606947,0.520242045002208,0.27220686443069,0.65940032663631,0.222305774934973,1.09749392017698,1.13074731123653,0.520520931228299,0.357726545313647,0.516905030944927,0.628616808746165
8,0.7,0.178,"Bacteroidetes_129_1",10.054844606947,0.520242045002208,0.27220686443069,0.65940032663631,0.222305774934973,1.09749392017698,1.13074731123653,0.520520931228299,0.357726545313647,0.516905030944927,0.628616808746165
8,0.9,0.178,"Bacteroidetes_129_1",10.054844606947,0.520242045002208,0.27220686443069,0.65940032663631,0.222305774934973,1.09749392017698,1.13074731123653,0.520520931228299,0.357726545313647,0.516905030944927,0.628616808746165
