"theta","alpha","lambda","target","cv_min_dat_perc","rmse_cv","rho_cv","const_pred_rmse","const_pred_rho","inv_rmse_cv","performance_cv","rmse_fit","rho_fit","inv_rmse_fit","performance_fit"
8,0.1,0.178,"Ciliophora_280_1",10.054844606947,0.496781724740347,0.282790528712064,0.668341120985999,0.168151797433373,1.09761113320633,1.1334551966742,0.486368878407822,0.321336658535792,0.488729160029588,0.584904641785458
8,0.9,0.032,"Ciliophora_280_1",10.054844606947,0.496838956227552,0.281530257874605,0.668341120985999,0.168151797433373,1.09755390171913,1.13308598670967,0.488181095846989,0.311401355424165,0.486916942590421,0.577978298157993
8,0.1,1,"Ciliophora_280_1",10.054844606947,0.496669996450561,0.279525275194917,0.668341120985999,0.168151797433373,1.09772286149612,1.1327532211934,0.488729160029588,0.30950841935809,0.486368878407822,0.576498176525499
8,0.3,1,"Ciliophora_280_1",10.054844606947,0.496669996450561,0.279525275194917,0.668341120985999,0.168151797433373,1.09772286149612,1.1327532211934,0.488729160029588,0.30950841935809,0.486368878407822,0.576498176525499
8,0.5,1,"Ciliophora_280_1",10.054844606947,0.496669996450561,0.279525275194917,0.668341120985999,0.168151797433373,1.09772286149612,1.1327532211934,0.488729160029588,0.30950841935809,0.486368878407822,0.576498176525499
8,0.7,1,"Ciliophora_280_1",10.054844606947,0.496669996450561,0.279525275194917,0.668341120985999,0.168151797433373,1.09772286149612,1.1327532211934,0.488729160029588,0.30950841935809,0.486368878407822,0.576498176525499
8,0.9,1,"Ciliophora_280_1",10.054844606947,0.496669996450561,0.279525275194917,0.668341120985999,0.168151797433373,1.09772286149612,1.1327532211934,0.488729160029588,0.30950841935809,0.486368878407822,0.576498176525499
8,0.3,0.178,"Ciliophora_280_1",10.054844606947,0.496669996450561,0.279525275194917,0.668341120985999,0.168151797433373,1.09772286149612,1.1327532211934,0.488729160029588,0.30950841935809,0.486368878407822,0.576498176525499
8,0.5,0.178,"Ciliophora_280_1",10.054844606947,0.496669996450561,0.279525275194917,0.668341120985999,0.168151797433373,1.09772286149612,1.1327532211934,0.488729160029588,0.30950841935809,0.486368878407822,0.576498176525499
8,0.7,0.178,"Ciliophora_280_1",10.054844606947,0.496669996450561,0.279525275194917,0.668341120985999,0.168151797433373,1.09772286149612,1.1327532211934,0.488729160029588,0.30950841935809,0.486368878407822,0.576498176525499
8,0.9,0.178,"Ciliophora_280_1",10.054844606947,0.496669996450561,0.279525275194917,0.668341120985999,0.168151797433373,1.09772286149612,1.1327532211934,0.488729160029588,0.30950841935809,0.486368878407822,0.576498176525499
