"theta","alpha","lambda","target","cv_min_dat_perc","rmse_cv","rho_cv","const_pred_rmse","const_pred_rho","inv_rmse_cv","performance_cv","rmse_fit","rho_fit","inv_rmse_fit","performance_fit"
8,0.9,0.032,"Proteobacteria_8176_1",10.054844606947,0.996244685490545,0.784842758944009,1.07142767628904,0.771644551340849,4.39731944495161,4.46681054637606,0.955014581951756,0.78515306623221,0.954961469659977,1.23629152951437
8,0.1,1,"Proteobacteria_8176_1",10.054844606947,0.996769129256401,0.784735610157564,1.07142767628904,0.771644551340849,4.39679500118575,4.46627543488995,0.954961469659977,0.785171252897258,0.955014581951756,1.23634410586889
8,0.3,1,"Proteobacteria_8176_1",10.054844606947,0.996769129256401,0.784735610157564,1.07142767628904,0.771644551340849,4.39679500118575,4.46627543488995,0.954961469659977,0.785171252897258,0.955014581951756,1.23634410586889
8,0.5,1,"Proteobacteria_8176_1",10.054844606947,0.996769129256401,0.784735610157564,1.07142767628904,0.771644551340849,4.39679500118575,4.46627543488995,0.954961469659977,0.785171252897258,0.955014581951756,1.23634410586889
8,0.7,1,"Proteobacteria_8176_1",10.054844606947,0.996769129256401,0.784735610157564,1.07142767628904,0.771644551340849,4.39679500118575,4.46627543488995,0.954961469659977,0.785171252897258,0.955014581951756,1.23634410586889
8,0.9,1,"Proteobacteria_8176_1",10.054844606947,0.996769129256401,0.784735610157564,1.07142767628904,0.771644551340849,4.39679500118575,4.46627543488995,0.954961469659977,0.785171252897258,0.955014581951756,1.23634410586889
8,0.3,0.178,"Proteobacteria_8176_1",10.054844606947,0.996769129256401,0.784735610157564,1.07142767628904,0.771644551340849,4.39679500118575,4.46627543488995,0.954961469659977,0.785171252897258,0.955014581951756,1.23634410586889
8,0.5,0.178,"Proteobacteria_8176_1",10.054844606947,0.996769129256401,0.784735610157564,1.07142767628904,0.771644551340849,4.39679500118575,4.46627543488995,0.954961469659977,0.785171252897258,0.955014581951756,1.23634410586889
8,0.7,0.178,"Proteobacteria_8176_1",10.054844606947,0.996769129256401,0.784735610157564,1.07142767628904,0.771644551340849,4.39679500118575,4.46627543488995,0.954961469659977,0.785171252897258,0.955014581951756,1.23634410586889
8,0.9,0.178,"Proteobacteria_8176_1",10.054844606947,0.996769129256401,0.784735610157564,1.07142767628904,0.771644551340849,4.39679500118575,4.46627543488995,0.954961469659977,0.785171252897258,0.955014581951756,1.23634410586889
